iter	Logloss
0	0.6417982867
1	0.6038560317
2	0.5741724878
3	0.5503152859
4	0.5310059716
5	0.5197604383
6	0.5096915649
7	0.5021883569
8	0.4944101413
9	0.488017671
10	0.4819947053
11	0.4780399969
12	0.4760662136
13	0.4741776257
14	0.4717391149
15	0.469876744
16	0.4684636836
17	0.4671659395
18	0.4650961459
19	0.4641582407
20	0.4631961809
21	0.4617091061
22	0.4607660426
23	0.4591447715
24	0.4584193777
25	0.4572034741
26	0.456932884
27	0.4564133243
28	0.4556111319
29	0.4548337129
30	0.4540497889
31	0.4538078348
32	0.4533116359
33	0.4527986788
34	0.4521605866
35	0.4518094022
36	0.4516249115
37	0.451260209
38	0.4510431077
39	0.4506263608
40	0.4504607526
41	0.4503224267
42	0.4499051814
43	0.4497724852
44	0.4494883111
45	0.448984185
46	0.448556253
47	0.4483359704
48	0.448169479
49	0.4478482372
50	0.4477483255
51	0.4476591919
52	0.4475035446
53	0.4471890065
54	0.4467821227
55	0.4466378542
56	0.4465510427
57	0.4462246266
58	0.4458382732
59	0.4454902192
60	0.4452731791
61	0.4450810746
62	0.4448891418
63	0.4447556272
64	0.4446250399
65	0.4442905618
66	0.4441126649
67	0.443871683
68	0.4436926903
69	0.4433184476
70	0.4431721296
71	0.442885442
72	0.4427015273
73	0.4424439237
74	0.4422385834
75	0.4420926848
76	0.4419220135
77	0.4418264565
78	0.4414417227
79	0.4412993889
80	0.4412467274
81	0.4411237369
82	0.4410604586
83	0.4407589959
84	0.4405372459
85	0.4404662421
86	0.4403872419
87	0.4400395303
88	0.43974048
89	0.4396394992
90	0.4395354033
91	0.4394437141
92	0.4391719013
93	0.4390989674
94	0.4387599148
95	0.4386518429
96	0.438468821
97	0.4381767407
98	0.4380065288
99	0.4379290387
100	0.4378477698
101	0.4377148248
102	0.4375531727
103	0.4374997973
104	0.4373451808
105	0.4370744589
106	0.4369378755
107	0.4367588174
108	0.4366896132
109	0.4365731302
110	0.4365000522
111	0.436370724
112	0.4361893962
113	0.4360380538
114	0.4358559728
115	0.4356411094
116	0.4355014794
117	0.4353150868
118	0.4351456528
119	0.4349125962
120	0.4347761414
121	0.4345591426
122	0.4342977323
123	0.4342059343
124	0.4339522919
125	0.433798379
126	0.4335630037
127	0.4333815056
128	0.4330889558
129	0.4329787855
130	0.4327968578
131	0.4325902092
132	0.4323914611
133	0.4322703017
134	0.4321542559
135	0.4320387205
136	0.4319262747
137	0.4317011047
138	0.4314894181
139	0.4312059994
140	0.4311010417
141	0.43092162
142	0.4308079875
143	0.4305065468
144	0.4303714182
145	0.4301243111
146	0.4298766472
147	0.4297302609
148	0.4295958731
149	0.4294049981
150	0.4292819827
151	0.4290058878
152	0.428786839
153	0.4286749806
154	0.4285287798
155	0.4283690099
156	0.4282084653
157	0.428092322
158	0.4279494295
159	0.4277866772
160	0.4277164626
161	0.4276196948
162	0.4274660575
163	0.4273595291
164	0.4270297274
165	0.4269194102
166	0.4266389595
167	0.4264421535
168	0.4263388226
169	0.4261916197
170	0.4260607489
171	0.4259010626
172	0.4257411113
173	0.4254977711
174	0.4253161374
175	0.4251930283
176	0.4250659934
177	0.4249539772
178	0.4248188209
179	0.4247162066
180	0.4246413274
181	0.424510398
182	0.4244511826
183	0.4243181377
184	0.4241459492
185	0.4239905405
186	0.4238565755
187	0.423594928
188	0.4233328402
189	0.4231978129
190	0.4231024005
191	0.422936847
192	0.4227762069
193	0.4226282115
194	0.4224760375
195	0.4223042821
196	0.422171874
197	0.4219978385
198	0.4219020803
199	0.4217784983
200	0.4216285732
201	0.4214737645
202	0.4212510891
203	0.4211107669
204	0.4209729601
205	0.4207028342
206	0.4205973051
207	0.4205114046
208	0.4202883809
209	0.4201112953
210	0.4200022981
211	0.4198575889
212	0.4196886937
213	0.4195464672
214	0.4194354004
215	0.4192065135
216	0.4190743488
217	0.4189206492
218	0.4188193462
219	0.4187309571
220	0.4186154685
221	0.418423046
222	0.4182878689
